item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,source,sourceName,statedName,gender,genderLabel,dob,dobPrecision,psid
Q4661996,Aaron Farrugia,Q108265790,"Minister for the Environment, Climate Change and Planning",,,,,,,,Q6581097,male,1980-01-01T00:00:00Z,11,Q4661996-763D0212-BE89-49C5-9D1C-830EC48F4848
Q168387,Agatha Barbara,Q30107297,Minister for Education and Employment,1955-01-01T00:00:00Z,1958-01-01T00:00:00Z,,,,,,Q6581072,female,1923-03-11T00:00:00Z,11,Q168387-2c7708b0-46f8-3fd3-5402-a2cd74a2f967
Q168387,Agatha Barbara,Q30107297,Minister for Education and Employment,1971-01-01T00:00:00Z,1976-01-01T00:00:00Z,,,,,,Q6581072,female,1923-03-11T00:00:00Z,11,Q168387-bc4c12ab-4c8a-277f-4583-c52f00be83c0
Q1710630,Alex Sceberras Trigona,Q25713883,Minister for Foreign Affairs,1981-12-20T00:00:00Z,1987-05-12T00:00:00Z,,,,,,Q6581097,male,1950-03-03T00:00:00Z,11,Q1710630-77A1A771-F9A2-4C38-9FCA-79A4A6DD234A
Q559545,Alfred Sant,Q152814,Prime Minister of Malta,1996-10-28T00:00:00Z,1998-09-06T00:00:00Z,,,,,,Q6581097,male,1948-02-28T00:00:00Z,11,Q559545-7ED75BEE-9596-4D43-848C-E487C9863494
Q250177,Anton Buttigieg,Q108265741,Minister for Justice and Governance,1971-06-21T00:00:00Z,1976-10-15T00:00:00Z,,,,,,Q6581097,male,1912-02-19T00:00:00Z,11,Q250177-E757A01A-D03C-482C-8A58-E7565FA358D4
Q781090,Austin Gatt,Q108265741,Minister for Justice and Governance,1998-09-08T00:00:00Z,2003-04-15T00:00:00Z,,,,,,Q6581097,male,1953-07-29T00:00:00Z,11,Q781090-A09B3F7D-3ABF-4CD8-BE30-E6FE2A73088A
Q5043368,Carmelo Abela,Q25713883,Minister for Foreign Affairs,2017-06-09T00:00:00Z,2020-01-15T00:00:00Z,,,,,,Q6581097,male,1972-02-10T00:00:00Z,11,Q5043368-BC5E9B76-13F0-4E11-9D77-0F0D42E0D11C
Q5043368,Carmelo Abela,Q108266345,Minister for Home Affairs,2014-12-09T00:00:00Z,2017-06-09T00:00:00Z,,,,,,Q6581097,male,1972-02-10T00:00:00Z,11,Q5043368-85EE0F62-0D26-4522-8CED-4773D61F7DB8
Q1043584,Carmelo Mifsud Bonnici,Q108266345,Minister for Home Affairs,2012-01-06T00:00:00Z,2012-05-30T00:00:00Z,,,,,,Q6581097,male,1960-02-17T00:00:00Z,11,Q1043584-1AA6BB07-3062-470A-AFD7-6745E60C9A86
Q1043584,Carmelo Mifsud Bonnici,Q108265741,Minister for Justice and Governance,2008-03-12T00:00:00Z,2012-01-06T00:00:00Z,,,,,,Q6581097,male,1960-02-17T00:00:00Z,11,Q1043584-BF53E448-432D-4E33-A343-263B6AA20BFA
Q5080619,Charles Mangion,Q108265741,Minister for Justice and Governance,1996-10-29T00:00:00Z,1998-02-03T00:00:00Z,,,,,,Q6581097,male,1952-11-14T00:00:00Z,11,Q5080619-6AE934EF-79D0-40E4-B663-C5A999173173
Q18206002,Chris Fearne,Q5261066,Deputy Prime Minister of Malta,2017-07-17T00:00:00Z,,,,,,,Q6581097,male,1963-03-12T00:00:00Z,11,Q18206002-B8A5B9F9-E811-4704-976F-F2FD1FAFAB31
Q18206002,Chris Fearne,Q108265384,Minister for Health,2016-04-28T00:00:00Z,,,,,,,Q6581097,male,1963-03-12T00:00:00Z,11,Q18206002-11C337F5-AA21-4E82-A072-4AB57432904F
Q2668705,Christopher Said,Q108265741,Minister for Justice and Governance,2012-01-06T00:00:00Z,2013-03-13T00:00:00Z,,,,,,Q6581097,male,1970-07-10T00:00:00Z,11,Q2668705-BC27E80A-8203-47BA-873A-4D7063A3689C
Q102423681,Clint Camilleri,Q108265813,Minister for Gozo,2020-01-20T00:00:00Z,,,,,,,Q6581097,male,1988-02-24T00:00:00Z,11,Q102423681-00A4B480-2547-4B7C-A96E-01144EA3E99E
Q108384543,Clyde Caruana,Q5449540,Finance Minister of Malta,2020-11-22T00:00:00Z,,,,,,,Q6581097,male,,,Q108384543-FFA84E9B-4743-47F9-81ED-2309E108CE28
Q167307,Dom Mintoff,Q25713883,Minister for Foreign Affairs,1971-06-21T00:00:00Z,1981-12-20T00:00:00Z,,,,,,Q6581097,male,1916-08-06T00:00:00Z,11,Q167307-37FBA1EC-AD21-46FF-BCAB-51EB94AFDA00
Q167307,Dom Mintoff,Q152814,Prime Minister of Malta,1955-03-11T00:00:00Z,1958-04-26T00:00:00Z,,,,,,Q6581097,male,1916-08-06T00:00:00Z,11,Q167307-9E0D8256-A5BC-42F4-982C-7F6C5A8CE379
Q167307,Dom Mintoff,Q152814,Prime Minister of Malta,1971-06-21T00:00:00Z,1984-12-22T00:00:00Z,,,,,,Q6581097,male,1916-08-06T00:00:00Z,11,Q167307-E55AE015-5C15-4629-9CD0-794D605D5424
Q152511,Eddie Fenech Adami,Q25713883,Minister for Foreign Affairs,1989-03-16T00:00:00Z,1990-05-05T00:00:00Z,,,,,,Q6581097,male,1934-02-07T00:00:00Z,11,Q152511-049DAACD-621A-497B-9BDC-44C9036471F3
Q152511,Eddie Fenech Adami,Q152814,Prime Minister of Malta,1987-05-12T00:00:00Z,1996-10-28T00:00:00Z,,,,,,Q6581097,male,1934-02-07T00:00:00Z,11,Q152511-0F17EA4C-3352-4A83-AF8B-B3F8E79D4766
Q152511,Eddie Fenech Adami,Q152814,Prime Minister of Malta,1998-09-06T00:00:00Z,2004-03-23T00:00:00Z,,,,,,Q6581097,male,1934-02-07T00:00:00Z,11,Q152511-EC497AC8-BE4B-48E4-B8B2-4F1ED586DC83
Q173958,Edward Scicluna,Q5449540,Finance Minister of Malta,2013-03-13T00:00:00Z,2020-11-22T00:00:00Z,,,,,,Q6581097,male,1946-10-12T00:00:00Z,11,Q173958-36BC5397-1BC5-45F7-A747-D0D0AE1DEDCC
Q37861343,Edward Zammit Lewis,Q108265821,Minister for European Affairs and Equality,2019-07-01T00:00:00Z,2020-01-01T00:00:00Z,,,,,,Q6581097,male,1973-06-21T00:00:00Z,11,Q37861343-D7604E16-56B5-4F31-968C-0045BC722F8D
Q37861343,Edward Zammit Lewis,Q108265741,Minister for Justice and Governance,2020-01-15T00:00:00Z,,,,,,,Q6581097,male,1973-06-21T00:00:00Z,11,Q37861343-5BF6E37D-2B8A-4CB4-BD4C-07E43FCAAC05
Q37861343,Edward Zammit Lewis,Q108265825,Minister for Tourism,2014-04-01T00:00:00Z,2017-06-01T00:00:00Z,,,,,,Q6581097,male,1973-06-21T00:00:00Z,11,Q37861343-51004299-6DA0-4044-9CA7-583AB67DAA8D
Q5373281,Emmanuel Mallia,Q108266345,Minister for Home Affairs,2013-03-13T00:00:00Z,2014-12-09T00:00:00Z,,,,,,Q6581097,male,1950-01-01T00:00:00Z,7,Q5373281-65233503-B781-48BC-9715-C6D3BBB3D020
Q989815,Enrico Mizzi,Q152814,Prime Minister of Malta,1950-09-01T00:00:00Z,1950-12-20T00:00:00Z,,,,,,Q6581097,male,1885-09-20T00:00:00Z,11,Q989815-cc1687e3-4e73-3a67-8547-f7b9e012d48c
Q5416069,Evarist Bartolo,Q30107297,Minister for Education and Employment,1996-10-28T00:00:00Z,1998-09-06T00:00:00Z,,,,,,Q6581097,male,1952-10-14T00:00:00Z,11,Q5416069-4F13097E-9840-421E-ADBC-56CCAACB7F42
Q5416069,Evarist Bartolo,Q30107297,Minister for Education and Employment,2013-03-13T00:00:00Z,2020-01-15T00:00:00Z,,,,,,Q6581097,male,1952-10-14T00:00:00Z,11,Q5416069-8D4DD834-9AC6-488F-B68A-25E1A27C1FED
Q5416069,Evarist Bartolo,Q25713883,Minister for Foreign Affairs,2020-01-15T00:00:00Z,,,,,,,Q6581097,male,1952-10-14T00:00:00Z,11,Q5416069-72B9098D-C754-4F75-8E44-74D79D4E748A
Q335387,Francesco Buhagiar,Q5449540,Finance Minister of Malta,,,,,,,,Q6581097,male,1876-09-07T00:00:00Z,11,Q335387-0f1f50b7-a605-4a1e-8846-83d1c4baee59
Q335387,Francesco Buhagiar,Q152814,Prime Minister of Malta,1923-10-13T00:00:00Z,1924-09-22T00:00:00Z,,,,,,Q6581097,male,1876-09-07T00:00:00Z,11,Q335387-748756B2-BE84-4BCA-B398-D602F08E9B6B
Q16545829,Francis Zammit Dimech,Q25713883,Minister for Foreign Affairs,2012-11-28T00:00:00Z,2013-03-13T00:00:00Z,,,,,,Q6581097,male,1954-10-23T00:00:00Z,11,Q16545829-E554EE05-5889-4E14-B253-35E83716E00E
Q108384981,Gavin Gulia,Q108265741,Minister for Justice and Governance,1998-02-04T00:00:00Z,1998-09-06T00:00:00Z,,,,,,Q6581097,male,1963-01-01T00:00:00Z,9,Q108384981-2F46B920-A854-4687-BA6F-EE0F39D2BBE9
Q1507005,George Bonello Dupuis,Q5449540,Finance Minister of Malta,1987-05-12T00:00:00Z,1992-02-27T00:00:00Z,,,,,,Q6581097,male,1927-01-01T00:00:00Z,9,Q1507005-024A8E45-5EF3-49D2-930A-7323F2624EBB
Q983140,George Borg Olivier,Q5449540,Finance Minister of Malta,1963-01-01T00:00:00Z,1964-01-01T00:00:00Z,,,,,,Q6581097,male,1911-07-05T00:00:00Z,11,Q983140-B3606660-9BDA-44B9-91C8-FE137246F822
Q983140,George Borg Olivier,Q25713883,Minister for Foreign Affairs,1964-09-21T00:00:00Z,1971-06-21T00:00:00Z,,,,,,Q6581097,male,1911-07-05T00:00:00Z,11,Q983140-3361947C-6790-4DB1-B844-6CE78BC38DDE
Q983140,George Borg Olivier,Q152814,Prime Minister of Malta,1950-12-20T00:00:00Z,1955-03-11T00:00:00Z,,,,,,Q6581097,male,1911-07-05T00:00:00Z,11,Q983140-6480311D-4AF9-45EB-9AEF-AB35BCB9B09E
Q983140,George Borg Olivier,Q152814,Prime Minister of Malta,1962-03-05T00:00:00Z,1971-06-21T00:00:00Z,,,,,,Q6581097,male,1911-07-05T00:00:00Z,11,Q983140-82218491-7524-4276-8E65-0575D700FBF4
Q1508402,George William Vella,Q25713883,Minister for Foreign Affairs,1996-10-29T00:00:00Z,1998-09-06T00:00:00Z,,,,,,Q6581097,male,1942-04-24T00:00:00Z,11,Q1508402-DC65C7FA-789C-4FCA-BBFC-365E8B0655A7
Q1508402,George William Vella,Q25713883,Minister for Foreign Affairs,2013-03-13T00:00:00Z,2017-06-07T00:00:00Z,,,,,,Q6581097,male,1942-04-24T00:00:00Z,11,Q1508402-EDA6D196-6B3E-4076-8E56-DB184275AD96
Q333979,"Gerald Strickland, 1st Baron Strickland",Q152814,Prime Minister of Malta,1927-08-09T00:00:00Z,1932-06-21T00:00:00Z,,,,,,Q6581097,male,1861-05-24T00:00:00Z,11,Q333979-2b9dcf3f-489a-c270-f9f4-5c7a88cddc4e
Q16008191,Giovanni Felice,Q5449540,Finance Minister of Malta,1962-03-05T00:00:00Z,1963-01-01T00:00:00Z,,,,,,Q6581097,male,1899-01-21T00:00:00Z,11,Q16008191-2FC2C327-F9C7-40C8-B2DC-19873F0F364D
Q16008191,Giovanni Felice,Q5449540,Finance Minister of Malta,1966-04-07T00:00:00Z,1971-06-21T00:00:00Z,,,,,,Q6581097,male,1899-01-21T00:00:00Z,11,Q16008191-C4A232ED-AFB2-42A3-952C-DA50487783EF
Q16008191,Giovanni Felice,Q108265741,Minister for Justice and Governance,1962-03-05T00:00:00Z,1963-01-01T00:00:00Z,,,,,,Q6581097,male,1899-01-21T00:00:00Z,11,Q16008191-9C298FCB-8533-453F-B0BF-A7C5B378458F
Q167724,Guido de Marco,Q25713883,Minister for Foreign Affairs,1990-05-05T00:00:00Z,1996-10-28T00:00:00Z,,,,,,Q6581097,male,1931-07-22T00:00:00Z,11,Q167724-06C8D202-92DD-4A5A-9A0D-7B501298E76E
Q167724,Guido de Marco,Q25713883,Minister for Foreign Affairs,1998-09-08T00:00:00Z,1999-03-24T00:00:00Z,,,,,,Q6581097,male,1931-07-22T00:00:00Z,11,Q167724-4448383D-38DA-41EB-A325-7D93B84B4DF1
Q167724,Guido de Marco,Q108265741,Minister for Justice and Governance,1987-05-12T00:00:00Z,1992-02-27T00:00:00Z,,,,,,Q6581097,male,1931-07-22T00:00:00Z,11,Q167724-2C1C76B9-46C4-481E-A5C4-625D60496E15
Q549456,Joe Borg,Q25713883,Minister for Foreign Affairs,1999-03-24T00:00:00Z,2004-03-23T00:00:00Z,,,,,,Q6581097,male,1952-03-19T00:00:00Z,11,Q549456-51161176-4272-054b-44a1-b5dc9d5e2c57
Q23062759,Joe Fenech,Q108265741,Minister for Justice and Governance,1992-02-27T00:00:00Z,1995-04-01T00:00:00Z,,,,,,Q6581097,male,1931-04-02T00:00:00Z,11,Q23062759-A1AF41E2-F64C-45EC-B785-0A8020EEC64E
Q518375,John Dalli,Q5449540,Finance Minister of Malta,1992-02-27T00:00:00Z,1996-10-28T00:00:00Z,,,,,,Q6581097,male,1948-10-05T00:00:00Z,11,Q518375-2C2D8426-CA5D-4074-8A5F-054D29885C90
Q518375,John Dalli,Q5449540,Finance Minister of Malta,1998-09-08T00:00:00Z,2004-03-23T00:00:00Z,,,,,,Q6581097,male,1948-10-05T00:00:00Z,11,Q518375-994CF67C-C8A6-433F-AA47-773B41E300F2
Q518375,John Dalli,Q25713883,Minister for Foreign Affairs,2004-03-23T00:00:00Z,2004-07-03T00:00:00Z,,,,,,Q6581097,male,1948-10-05T00:00:00Z,11,Q518375-17802167-48ab-3aae-f0ee-aa68eaf8f571
Q108384529,Joseph Abela,Q5449540,Finance Minister of Malta,1971-06-21T00:00:00Z,1979-07-09T00:00:00Z,,,,,,Q6581097,male,1922-01-01T00:00:00Z,9,Q108384529-EC778657-4A4A-4191-B2DA-486CD13E597C
Q108384965,Joseph Brincat,Q108265741,Minister for Justice and Governance,1979-07-09T00:00:00Z,1981-12-20T00:00:00Z,,,,,,Q6581097,male,1944-01-01T00:00:00Z,9,Q108384965-97A95061-5002-4368-9988-1AB6A0961B51
Q1397679,Joseph Howard,Q152814,Prime Minister of Malta,1921-10-26T00:00:00Z,1923-10-13T00:00:00Z,,,,,,Q6581097,male,1862-12-04T00:00:00Z,11,Q1397679-A31C16F9-374F-4136-8BD7-100FAEDDEC94
Q938224,Joseph Muscat,Q152814,Prime Minister of Malta,2013-03-09T00:00:00Z,2020-01-13T00:00:00Z,,,,,,Q6581097,male,1974-01-22T00:00:00Z,11,Q938224-ae9d7fb6-4d24-2268-4e3f-27478cbd0a56
Q1043593,Karmenu Mifsud Bonnici,Q152814,Prime Minister of Malta,1984-12-22T00:00:00Z,1987-05-12T00:00:00Z,,,,,,Q6581097,male,1933-07-17T00:00:00Z,11,Q1043593-2F0EC75C-F141-4FDA-9A77-A48807ED5D50
Q57620,Lawrence Gonzi,Q5261066,Deputy Prime Minister of Malta,1999-01-01T00:00:00Z,2004-01-01T00:00:00Z,,,,,,Q6581097,male,1953-07-01T00:00:00Z,11,Q57620-A5B36D33-F557-4DDD-971B-81C5B55FC320
Q57620,Lawrence Gonzi,Q5449540,Finance Minister of Malta,2004-03-23T00:00:00Z,2008-03-12T00:00:00Z,,,,,,Q6581097,male,1953-07-01T00:00:00Z,11,Q57620-131E85B5-FED5-4B73-B5ED-5172C17CF936
Q57620,Lawrence Gonzi,Q152814,Prime Minister of Malta,2004-03-23T00:00:00Z,2013-03-11T00:00:00Z,,,,,,Q6581097,male,1953-07-01T00:00:00Z,11,Q57620-10254135-C081-469B-B85B-ABE20D920FA6
Q9021468,Leo Brincat,Q5449540,Finance Minister of Malta,1997-03-26T00:00:00Z,1998-09-06T00:00:00Z,,,,,,Q6581097,male,1949-01-01T00:00:00Z,9,Q9021468-9AA8DEC0-CA64-48B4-A787-56734B33515D
Q7214825,Lino Spiteri,Q5449540,Finance Minister of Malta,1981-12-20T00:00:00Z,1983-09-03T00:00:00Z,,,,,,Q6581097,male,1938-09-23T00:00:00Z,11,Q7214825-A01191F8-B70A-43AE-A45E-EDBABC5E5431
Q7214825,Lino Spiteri,Q5449540,Finance Minister of Malta,1996-10-29T00:00:00Z,1997-03-26T00:00:00Z,,,,,,Q6581097,male,1938-09-23T00:00:00Z,11,Q7214825-542E2BA3-6784-436B-9C5F-40D85D544D7C
Q1871727,Louis Grech,Q5261066,Deputy Prime Minister of Malta,2013-03-13T00:00:00Z,,,,,,,Q6581097,male,1947-03-22T00:00:00Z,11,Q1871727-116B70F4-A4AE-4BD4-BD34-3F5463A7941C
Q1275788,Michael Frendo,Q25713883,Minister for Foreign Affairs,2004-07-03T00:00:00Z,2008-03-12T00:00:00Z,,,,,,Q6581097,male,1955-07-29T00:00:00Z,11,Q1275788-12e20aef-4f5b-a85f-03e9-c9b1a54710cb
Q1275788,Michael Frendo,Q25713888,"Minister for Transport, Communications and Technology",,,,,,,,Q6581097,male,1955-07-29T00:00:00Z,11,Q1275788-e166b1d5-40db-1a7e-7af5-cde3001e46a8
Q1275788,Michael Frendo,Q25713889,Minister for Youth and Arts,,,,,,,,Q6581097,male,1955-07-29T00:00:00Z,11,Q1275788-d0348ae1-484d-899b-e8a7-fa22390127bb
Q19367343,Michael Refalo,Q108265741,Minister for Justice and Governance,1995-04-01T00:00:00Z,1996-10-28T00:00:00Z,,,,,,Q6581097,male,1936-02-25T00:00:00Z,11,Q19367343-11842F63-50D7-415E-9BA3-2E0DF71672AD
Q17315715,Miriam Dalli,Q108266313,"Minister for Energy, Enterprise and Sustainable Development",2020-11-21T00:00:00Z,,,,,,,Q6581072,female,1976-05-19T00:00:00Z,11,Q17315715-39068AC9-A7F8-4507-888B-C1BF590506F9
Q16199692,Owen Bonnici,Q30107297,Minister for Education and Employment,2020-01-15T00:00:00Z,2020-11-23T00:00:00Z,,,,,,Q6581097,male,1980-05-24T00:00:00Z,11,Q16199692-C00F64AB-1D05-4567-80B9-81BCC593311E
Q16199692,Owen Bonnici,Q108265751,"Minister for Equality, Research and Innovation",2008-05-10T00:00:00Z,,,,,,,Q6581097,male,1980-05-24T00:00:00Z,11,Q16199692-97735DDD-1DA0-491D-AEEE-053391471210
Q16199692,Owen Bonnici,Q108265741,Minister for Justice and Governance,2013-03-13T00:00:00Z,2020-01-13T00:00:00Z,,,,,,Q6581097,male,1980-05-24T00:00:00Z,11,Q16199692-3B3078D6-906C-496B-BB5B-F19E12651F4C
Q736796,Paul Boffa,Q152814,Prime Minister of Malta,1947-11-04T00:00:00Z,1950-09-26T00:00:00Z,,,,,,Q6581097,male,1890-06-30T00:00:00Z,11,Q736796-92FF0014-3B8F-499E-8C3F-65AF89B3319A
Q37860840,Robert Abela,Q152814,Prime Minister of Malta,2020-01-13T00:00:00Z,,,,,,,Q6581097,male,1977-12-07T00:00:00Z,11,Q37860840-6948e451-44f2-8284-cd40-dc61af09d081
Q23881652,Silvio Schembri,Q108265621,Minister for the Economy and Industry,2020-01-15T00:00:00Z,,,,,,,Q6581097,male,1985-05-21T00:00:00Z,11,Q23881652-0885E8FE-373E-43DF-868B-D4EE86396811
Q108384518,Tommaso Caruana Demajo,Q5449540,Finance Minister of Malta,1964-01-01T00:00:00Z,1966-04-07T00:00:00Z,,,,,,Q6581097,male,1910-01-01T00:00:00Z,9,Q108384518-32FE459F-74CE-4083-81E1-63E8D9CAF442
Q108384518,Tommaso Caruana Demajo,Q108265741,Minister for Justice and Governance,1963-01-01T00:00:00Z,1971-06-21T00:00:00Z,,,,,,Q6581097,male,1910-01-01T00:00:00Z,9,Q108384518-7403739F-C22D-43F7-A6E2-E7609A050CFB
Q58176,Tonio Borg,Q5261066,Deputy Prime Minister of Malta,2004-03-23T00:00:00Z,2012-11-28T00:00:00Z,,,,,,Q6581097,male,1957-05-12T00:00:00Z,11,Q58176-1B99DD9A-C750-40E9-99D0-B64CEC027C1B
Q58176,Tonio Borg,Q25713883,Minister for Foreign Affairs,2008-03-12T00:00:00Z,2012-11-28T00:00:00Z,,,,,,Q6581097,male,1957-05-12T00:00:00Z,11,Q58176-8DAC013E-7C70-4127-BE2B-63CAE02D0F5B
Q58176,Tonio Borg,Q108266345,Minister for Home Affairs,1995-04-17T00:00:00Z,1996-10-28T00:00:00Z,,,,,,Q6581097,male,1957-05-12T00:00:00Z,11,Q58176-85175E48-C7ED-43A7-9200-7B8CEA7D5B87
Q58176,Tonio Borg,Q108266345,Minister for Home Affairs,1998-09-08T00:00:00Z,2008-03-12T00:00:00Z,,,,,,Q6581097,male,1957-05-12T00:00:00Z,11,Q58176-70F57796-F4FA-4E37-A024-8EA9898978BE
Q58176,Tonio Borg,Q108265741,Minister for Justice and Governance,2003-04-15T00:00:00Z,2008-03-12T00:00:00Z,,,,,,Q6581097,male,1957-05-12T00:00:00Z,11,Q58176-20C59D90-161F-4BC9-9F9C-282BE3D49F75
Q247348,Tonio Fenech,Q5449540,Finance Minister of Malta,2008-03-11T00:00:00Z,2013-03-10T00:00:00Z,,,,,,Q6581097,male,1969-05-05T00:00:00Z,11,Q247348-4463AA75-473A-4B83-BCDD-2682E49B54D5
Q1396581,Ugo Pasquale Mifsud,Q5449540,Finance Minister of Malta,,,,,,,,Q6581097,male,1889-09-12T00:00:00Z,11,Q1396581-c44bcb2d-203c-4727-94b0-66a7ce7edb75
Q1396581,Ugo Pasquale Mifsud,Q152814,Prime Minister of Malta,1924-09-22T00:00:00Z,1927-08-01T00:00:00Z,,,,,,Q6581097,male,1889-09-12T00:00:00Z,11,Q1396581-4CD6D915-3C81-49CC-98A9-AAA2D4ED273D
Q1396581,Ugo Pasquale Mifsud,Q152814,Prime Minister of Malta,1932-06-21T00:00:00Z,1933-11-02T00:00:00Z,,,,,,Q6581097,male,1889-09-12T00:00:00Z,11,Q1396581-73CE07FA-31A5-4B9F-8D20-68F793713AD6
Q15651378,Wistin Abela,Q5449540,Finance Minister of Malta,1983-09-03T00:00:00Z,1987-05-12T00:00:00Z,,,,,,Q6581097,male,1933-10-19T00:00:00Z,11,Q15651378-174EF0C4-609E-40C8-B83C-2B31B6A9BC6A
Q167937,Ċensu Tabone,Q25713883,Minister for Foreign Affairs,1987-05-12T00:00:00Z,1989-03-16T00:00:00Z,,,,,,Q6581097,male,1913-03-30T00:00:00Z,11,Q167937-2D7540F1-214C-45B3-832E-379FED37B98F
Q18536886,Ġużè Cassar,Q5449540,Finance Minister of Malta,1979-07-09T00:00:00Z,1981-12-20T00:00:00Z,,,,,,Q6581097,male,1918-01-22T00:00:00Z,11,Q18536886-04AB3A97-E8E3-401F-AD28-E152F33767CF
Q18536886,Ġużè Cassar,Q108265741,Minister for Justice and Governance,1976-10-15T00:00:00Z,1979-07-09T00:00:00Z,,,,,,Q6581097,male,1918-01-22T00:00:00Z,11,Q18536886-749138B6-65B9-4C1E-946F-23302E9F5F1B
Q18536886,Ġużè Cassar,Q108265741,Minister for Justice and Governance,1981-12-20T00:00:00Z,1987-05-12T00:00:00Z,,,,,,Q6581097,male,1918-01-22T00:00:00Z,11,Q18536886-2B0FFBB9-7EEB-4F89-97BD-E378F5190359
